guid,tag
3235,positive
1128,positive
4274,negative
2323,positive
4535,negative
1546,negative
2526,negative
2507,positive
4332,negative
2923,negative
3125,negative
2327,positive
3473,positive
1141,positive
4834,negative
2322,positive
876,positive
3093,negative
712,positive
3924,negative
2869,neutral
3523,neutral
839,positive
3630,positive
4854,negative
4662,neutral
1049,positive
3288,positive
646,positive
3949,negative
4728,positive
715,positive
4669,neutral
501,positive
2357,positive
3106,negative
3513,negative
2753,positive
1326,positive
3967,negative
4441,negative
1557,positive
666,positive
5104,positive
653,positive
2087,negative
270,positive
3716,positive
1190,positive
1561,negative
4784,neutral
4712,negative
1333,negative
4524,neutral
3042,neutral
792,positive
709,positive
3709,positive
5026,positive
4574,positive
2850,positive
4029,positive
1387,positive
4879,positive
2931,negative
2916,neutral
4830,negative
153,negative
1224,positive
4943,negative
2903,neutral
3122,positive
4034,negative
4214,positive
703,negative
1148,positive
1607,negative
3801,positive
3198,positive
3896,positive
1492,negative
393,positive
2109,positive
3477,positive
4149,positive
4109,positive
4335,negative
2444,positive
4057,negative
2953,positive
1245,positive
370,negative
369,positive
77,positive
3034,positive
4788,positive
4517,negative
1673,positive
1356,negative
1589,negative
1443,negative
2890,negative
2525,positive
5011,positive
1533,negative
3870,positive
4809,positive
2675,negative
5048,positive
1094,positive
3853,positive
364,negative
1383,negative
1432,positive
133,positive
3207,negative
934,negative
4743,positive
2848,negative
2919,positive
4617,positive
540,positive
1274,positive
2435,neutral
3864,positive
1572,negative
986,positive
4166,negative
1658,positive
1951,negative
713,positive
759,positive
1182,positive
2472,positive
3148,positive
273,negative
1514,negative
3491,negative
4988,positive
1022,negative
4237,positive
3928,positive
2018,positive
1729,positive
4050,negative
879,positive
1910,negative
579,positive
4088,neutral
4446,negative
166,positive
1420,positive
3996,negative
734,positive
5038,positive
2751,positive
2011,positive
297,negative
372,positive
73,neutral
4762,negative
3431,positive
4645,neutral
162,positive
1564,negative
4629,negative
968,positive
3905,negative
117,neutral
3672,positive
2772,positive
3322,positive
444,positive
1668,positive
1649,neutral
895,positive
4219,positive
3710,negative
1203,positive
2656,positive
1031,positive
3430,negative
3762,positive
146,neutral
2592,positive
2152,positive
2312,negative
4349,negative
189,negative
3941,negative
2350,negative
1958,negative
3740,positive
2117,positive
980,positive
3958,negative
1846,neutral
2556,positive
1234,positive
3644,negative
1876,neutral
3726,negative
2967,positive
4101,positive
4192,positive
5044,positive
4200,negative
995,positive
2693,negative
878,positive
450,negative
4748,positive
303,positive
3897,positive
3387,positive
3274,negative
1637,positive
1995,positive
1098,positive
2664,negative
919,negative
991,positive
4948,negative
158,negative
1826,positive
2963,positive
1828,positive
4690,positive
742,positive
1428,positive
4217,positive
2968,negative
2937,neutral
2077,neutral
582,neutral
2999,positive
868,neutral
1753,positive
4616,positive
1134,positive
711,positive
1932,negative
2683,positive
1504,positive
1912,neutral
3480,negative
2349,positive
97,negative
3587,positive
74,positive
3327,positive
3622,positive
3140,negative
4111,neutral
4480,negative
315,positive
1914,negative
1822,negative
1249,positive
3719,negative
3150,negative
1888,positive
2004,positive
3550,negative
3209,positive
3405,negative
983,positive
4612,negative
2567,negative
4314,positive
2043,positive
4826,negative
2716,positive
2086,positive
1284,neutral
3693,neutral
1436,negative
2124,negative
365,positive
3888,positive
1438,positive
664,negative
3808,neutral
4974,negative
748,positive
1569,positive
4356,negative
3649,positive
2671,negative
728,positive
54,positive
2008,positive
1622,neutral
4650,neutral
3994,positive
2386,positive
4187,positive
4636,positive
4123,positive
4931,positive
5058,negative
3822,positive
2093,positive
4218,positive
1139,negative
44,positive
3764,positive
4195,negative
1033,positive
1723,positive
4207,positive
686,positive
988,positive
4428,negative
113,positive
4637,positive
4502,neutral
5028,neutral
1755,negative
3412,negative
4750,neutral
866,negative
4068,positive
3384,neutral
4323,positive
815,positive
1857,negative
4831,negative
5112,negative
4304,negative
1904,neutral
4888,negative
1858,positive
1341,positive
268,positive
4275,positive
4196,negative
99,positive
2781,positive
3056,neutral
4979,positive
4383,negative
3457,positive
3593,positive
5004,negative
3220,positive
1588,positive
4663,positive
3995,positive
2146,positive
5079,positive
151,positive
5020,positive
4661,positive
2071,positive
4360,negative
456,positive
3607,positive
1427,positive
2163,negative
141,positive
4864,positive
4942,positive
1821,positive
1757,positive
3208,positive
3468,positive
4689,positive
1715,positive
3508,negative
4963,positive
596,negative
2092,positive
4233,positive
4235,positive
3436,negative
5053,negative
4853,negative
405,neutral
4729,positive
135,positive
1983,positive
2666,negative
94,positive
559,negative
3902,negative
1136,positive
431,positive
2337,positive
1307,negative
3236,positive
180,neutral
3329,neutral
2603,negative
3200,positive
2655,neutral
4085,neutral
418,negative
287,positive
3187,negative
2964,positive
2794,negative
2167,negative
3756,positive
2973,positive
1437,positive
4467,negative
735,positive
3625,negative
4660,positive
4768,positive
4683,positive
1317,positive
580,neutral
496,positive
4978,positive
3177,positive
847,neutral
1187,positive
3596,positive
442,negative
3381,positive
3343,positive
2356,negative
1670,negative
1840,negative
4104,positive
2843,negative
3944,negative
4591,positive
804,positive
3115,positive
3602,neutral
1266,negative
2534,positive
4504,positive
3673,neutral
3421,positive
1385,positive
3251,positive
3179,negative
3479,positive
1802,positive
3957,positive
4744,positive
1498,negative
3427,positive
4481,positive
1413,negative
922,negative
2976,negative
323,negative
3794,neutral
708,neutral
973,positive
4646,negative
3380,neutral
2102,neutral
3350,positive
249,negative
766,positive
2431,positive
4581,positive
4732,positive
854,negative
1353,positive
4070,negative
1065,positive
3111,negative
2872,positive
2862,neutral
475,positive
997,positive
720,neutral
34,positive
1107,positive
851,positive
2160,positive
5065,positive
1054,positive
823,positive
969,positive
3409,positive
2900,positive
1885,negative
3806,positive
4438,positive
5054,positive
4824,negative
572,positive
974,positive
2578,negative
2149,positive
3647,positive
1992,negative
1230,positive
1900,positive
4800,positive
3713,positive
178,positive
4582,positive
2784,neutral
4039,positive
1764,positive
4096,positive
4858,negative
4140,negative
4760,neutral
4746,negative
1019,positive
1746,positive
3633,positive
2510,positive
95,positive
2491,positive
1938,positive
326,positive
3695,negative
707,positive
3827,negative
1336,negative
3255,positive
3258,positive
3441,positive
4260,positive
1555,positive
470,positive
455,positive
4130,neutral
885,positive
3849,positive
958,positive
3197,negative
3432,neutral
4412,positive
5036,positive
2333,negative
4643,positive
531,neutral
356,neutral
3057,positive
3040,negative
1024,positive
827,positive
4687,negative
1369,positive
1613,positive
4874,negative
1325,positive
2795,positive
1836,positive
1091,positive
4231,neutral
3341,positive
221,positive
2438,positive
4243,positive
1915,positive
3358,negative
4556,positive
3754,positive
410,positive
4328,positive
2468,positive
976,positive
3627,positive
10,negative
4883,positive
3164,negative
3499,negative
1556,positive
4486,positive
4741,positive
2129,negative
1761,negative
1194,positive
149,positive
3330,neutral
3925,neutral
205,negative
1781,neutral
2599,neutral
321,positive
495,positive
159,negative
1486,negative
3876,positive
946,positive
592,positive
435,positive
4579,positive
1140,positive
1853,neutral
1390,neutral
417,positive
1067,positive
4624,negative
1523,positive
328,positive
1370,positive
2024,neutral
2032,positive
2143,neutral
3502,positive
3753,positive
1841,negative
1881,negative
4530,positive
1750,positive
4915,negative
4633,positive
3752,neutral
4134,positive
1165,neutral
403,positive
1251,neutral
1468,positive
3452,negative
4164,positive
3832,negative
3095,negative
106,neutral
2806,positive
3694,negative
3974,positive
5056,positive
5116,negative
3883,negative
4688,negative
2020,positive
610,positive
1344,negative
4576,positive
69,negative
4283,positive
4514,negative
993,neutral
2832,neutral
2645,negative
1633,positive
1509,neutral
252,positive
1877,positive
1652,positive
4707,neutral
4757,positive
3770,negative
2670,negative
5129,positive
195,negative
1434,positive
638,positive
2450,neutral
1720,positive
4962,positive
3260,positive
3943,negative
1679,positive
3923,negative
1268,negative
1972,negative
1785,negative
4932,neutral
3137,negative
336,positive
285,negative
3382,positive
4980,negative
3656,negative
4742,positive
1343,positive
4358,positive
4013,negative
4821,positive
2562,positive
3912,positive
40,positive
2057,negative
4634,positive
472,positive
1526,negative
4550,positive
127,positive
1250,negative
91,positive
2500,positive
3047,negative
445,positive
4018,positive
4914,positive
2359,negative
2059,positive
2669,positive
3758,positive
3525,positive
4384,negative
1891,negative
1683,positive
4342,positive
3966,negative
3051,negative
1171,positive
5016,positive
347,negative
1517,negative
4459,positive
1217,positive
3515,negative
4371,negative
3219,positive
4492,positive
1332,negative
1210,positive
3246,positive
3163,neutral
504,positive
3964,positive
396,neutral
4330,negative
4792,positive
3558,positive
4338,positive
2986,positive
125,positive
2165,neutral
4758,positive
4566,neutral
3699,negative
2112,positive
704,positive
902,positive
3244,positive
3664,negative
4930,positive
1304,positive
1774,negative
1167,positive
3482,negative
3339,positive
3535,positive
3548,positive
1294,negative
3586,positive
4497,positive
2134,positive
45,positive
5035,positive
3370,negative
4794,negative
1232,positive
1886,negative
611,positive
298,positive
4999,positive
990,positive
3319,positive
3742,positive
341,positive
3287,positive
1403,negative
2626,positive
1602,negative
5013,positive
4614,positive
1609,positive
4110,neutral
1363,negative
378,positive
164,negative
3173,positive
605,positive
1253,positive
5083,negative
691,positive
3331,positive
3809,positive
591,neutral
1180,neutral
476,positive
2685,negative
2010,positive
3575,negative
1940,negative
1174,negative
1540,negative
2451,negative
1184,positive
3988,negative
1907,positive
3613,positive
1108,positive
3058,negative
4452,negative
2614,positive
1023,positive
3368,positive
2509,positive
17,positive
4256,positive
2119,negative
83,positive
4281,positive
672,negative
1014,negative
682,positive
1222,positive
2980,negative
3289,positive
4733,positive
353,positive
4007,negative
2027,positive
648,neutral
597,negative
46,neutral
3595,positive
2111,neutral
3266,positive
2700,neutral
2836,negative
18,positive
3562,negative
375,negative
1097,positive
5047,positive
2374,neutral
2763,negative
1870,neutral
3388,positive
4859,positive
795,neutral
1849,positive
3332,negative
4822,positive
4533,negative
1329,positive
4534,positive
2687,neutral
4115,neutral
2588,positive
1553,positive
517,positive
4598,negative
835,positive
5105,negative
1848,positive
275,positive
1783,negative
4407,positive
3860,positive
1124,negative
3715,positive
4829,negative
1647,positive
1718,positive
3162,positive
732,negative
2494,positive
2855,positive
3662,negative
931,negative
4679,positive
1770,negative
1093,positive
4479,positive
1893,negative
3328,positive
1551,neutral
3178,positive
2542,positive
84,positive
4816,negative
2880,positive
581,neutral
1510,negative
12,positive
88,positive
4595,positive
1725,positive
4668,positive
226,positive
3971,positive
793,positive
478,positive
3323,positive
5050,positive
4680,positive
2577,negative
4415,negative
2474,negative
1135,positive
2372,positive
3242,positive
57,positive
731,negative
2745,neutral
3171,negative
1120,positive
3850,negative
4485,positive
2524,negative
690,negative
4437,positive
199,positive
1913,negative
1015,positive
4408,positive
3747,positive
253,negative
1864,positive
170,positive
3674,neutral
1358,positive
190,negative
3783,positive
3211,positive
394,positive
3067,positive
5063,positive
3553,negative
4496,positive
4781,negative
4737,negative
4599,neutral
4987,positive
1156,negative
4460,positive
3141,negative
3932,positive
753,neutral
3529,neutral
4178,positive
1491,positive
2335,negative
4269,negative
3573,positive
1653,positive
1950,negative
1939,positive
3517,positive
2885,negative
752,neutral
5003,negative
1075,positive
1175,positive
2938,positive
337,positive
3606,positive
4394,negative
300,positive
2748,positive
4666,positive
4905,negative
1104,neutral
5030,positive
2442,positive
3670,negative
2425,positive
1780,negative
761,positive
4457,negative
4059,negative
4045,positive
3865,positive
4659,positive
801,positive
2643,negative
3064,negative
3038,positive
1703,negative
4548,positive
1603,neutral
4324,positive
2070,negative
3157,positive
941,positive
1674,neutral
5124,negative
942,positive
805,negative
4700,negative
1055,positive
1959,negative
2504,positive
4276,positive
1842,positive
593,negative
2960,negative
1114,positive
4226,positive
4866,negative
246,negative
1706,positive
1004,positive
3128,positive
3516,positive
4176,positive
4180,negative
4301,negative
2947,positive
4012,positive
2974,positive
3182,positive
4554,positive
4585,negative
3791,positive
4817,positive
874,negative
2660,positive
647,positive
837,negative
858,positive
3861,positive
680,negative
1320,positive
577,positive
15,positive
2141,positive
1090,negative
5099,positive
360,positive
2783,negative
239,positive
3528,positive
4615,positive
1008,positive
53,positive
2331,positive
64,negative
3029,positive
4336,positive
4240,positive
9,positive
954,negative
1831,positive
335,neutral
5008,positive
1102,negative
1298,positive
4346,negative
402,negative
4873,negative
2902,positive
3104,positive
1851,negative
3285,positive
1854,negative
4374,positive
880,negative
2535,positive
4600,positive
1161,positive
4284,positive
1929,negative
3807,neutral
4373,positive
778,negative
2981,neutral
3264,positive
79,positive
76,positive
2140,positive
395,positive
4090,neutral
2755,neutral
4424,positive
636,negative
4102,neutral
1043,positive
4527,positive
3812,positive
3679,positive
1455,negative
1011,positive
2894,positive
971,positive
5118,positive
2369,neutral
366,positive
2575,positive
2636,neutral
4977,negative
2314,positive
1480,negative
340,neutral
4896,negative
2705,neutral
2003,positive
3589,positive
2595,positive
3922,negative
4770,positive
4124,neutral
3024,positive
454,negative
1041,positive
2917,neutral
831,positive
210,positive
2639,negative
257,positive
2326,negative
295,positive
4772,positive
2736,neutral
769,positive
2663,negative
2464,negative
4515,neutral
1823,negative
3961,positive
4516,positive
2838,positive
3105,negative
242,positive
2036,positive
943,negative
4011,positive
1930,positive
4623,negative
1675,positive
3743,positive
3942,negative
2488,positive
2898,negative
4625,neutral
4062,negative
1241,positive
5022,negative
1399,negative
1418,negative
4315,positive
5084,positive
509,positive
1146,positive
4350,negative
2334,negative
4185,negative
2131,negative
4401,negative
245,neutral
291,positive
2602,negative
3270,positive
3284,negative
4763,negative
632,negative
608,negative
4765,neutral
2074,positive
4325,negative
251,positive
4596,negative
4042,positive
782,negative
1058,neutral
2576,positive
4027,positive
3921,positive
557,positive
390,negative
1047,positive
4875,positive
3785,negative
1936,positive
102,positive
1063,positive
541,positive
1601,positive
2573,positive
1404,negative
4791,positive
1207,positive
1256,positive
2724,neutral
2972,positive
4735,positive
3055,negative
5088,positive
266,positive
4895,positive
2432,positive
3406,neutral
2441,positive
1855,negative
2978,positive
656,negative
2692,negative
4299,negative
3691,positive
3933,negative
3761,positive
4861,positive
1283,positive
645,positive
4997,positive
1719,positive
807,positive
915,positive
1905,neutral
3201,positive
4734,positive
1362,negative
4648,positive
3953,negative
4367,negative
1145,positive
3045,positive
1590,negative
2801,negative
1263,negative
19,negative
4769,positive
864,positive
3773,negative
550,negative
1867,positive
2009,positive
4959,positive
1,positive
585,positive
3303,positive
4665,neutral
2706,negative
4685,negative
2912,positive
100,positive
4989,negative
624,positive
1463,positive
4153,negative
576,positive
3068,positive
681,positive
2621,positive
3059,positive
3568,negative
1328,positive
2498,positive
642,negative
2793,neutral
3815,positive
483,neutral
1440,positive
4577,positive
2324,positive
1311,positive
3425,positive
2056,neutral
2659,positive
3915,negative
2455,negative
4063,negative
1407,positive
4998,positive
2901,positive
4906,positive
3071,positive
1948,negative
2105,negative
4212,positive
4718,negative
2084,positive
3333,neutral
447,positive
1906,negative
4239,positive
4084,neutral
4458,negative
4789,positive
1439,positive
659,positive
2073,negative
36,positive
903,positive
1740,negative
156,positive
4163,negative
86,positive
1832,negative
304,positive
2799,positive
4179,positive
836,negative
1122,negative
4654,neutral
2833,neutral
687,negative
3295,positive
197,positive
4399,positive
4619,positive
1296,negative
3667,negative
4092,neutral
1503,positive
4694,positive
2769,positive
4594,positive
2729,positive
1686,positive
987,positive
4501,positive
4510,positive
2691,negative
4865,positive
4933,negative
3497,positive
1372,negative
49,positive
2859,positive
4971,positive
1794,positive
1159,negative
3414,negative
3154,positive
1643,positive
3443,positive
1386,negative
5109,positive
1883,negative
1902,negative
4692,positive
1610,positive
3609,positive
1977,negative
774,positive
43,positive
1109,positive
1965,positive
1663,negative
649,positive
906,negative
688,positive
3423,positive
888,positive
965,negative
1499,positive
5119,positive
2387,negative
439,positive
1209,positive
30,negative
3813,positive
3411,negative
4812,neutral
4220,positive
32,positive
2673,negative
3124,negative
3873,positive
569,positive
3470,positive
635,positive
513,positive
4228,positive
269,neutral
2715,positive
2168,positive
1215,positive
935,negative
4191,negative
1315,positive
785,positive
4653,negative
2501,positive
1921,positive
140,neutral
1459,positive
4254,positive
2007,neutral
3184,negative
3455,positive
2047,positive
3036,positive
4001,negative
3504,positive
3689,neutral
2661,positive
817,positive
4080,neutral
589,negative
3591,neutral
3538,negative
4892,negative
2936,negative
2935,neutral
175,positive
904,positive
363,positive
3250,positive
1264,negative
3634,positive
477,positive
4251,positive
511,neutral
1193,neutral
1566,negative
374,neutral
4197,negative
35,positive
4361,positive
110,negative
1216,positive
3321,positive
4793,positive
1978,negative
2945,negative
1738,negative
2389,neutral
4317,positive
4227,positive
1121,positive
4639,negative
606,negative
329,positive
726,positive
4160,negative
1414,positive
1081,positive
889,positive
1629,positive
227,positive
2054,neutral
637,neutral
3030,positive
2581,negative
1237,positive
2433,positive
694,positive
449,neutral
1389,negative
2896,negative
2992,neutral
4028,positive
1880,positive
1650,positive
5031,positive
1287,positive
3521,positive
783,negative
3789,positive
3831,negative
2955,positive
1394,neutral
5068,negative
4814,negative
1110,positive
1991,positive
1773,positive
2110,neutral
3136,negative
1790,positive
1357,positive
4884,negative
2166,positive
137,positive
4753,negative
1534,negative
3223,negative
758,positive
1034,positive
4538,positive
4891,positive
2354,negative
777,positive
3194,positive
154,positive
3976,positive
4347,negative
3551,negative
3711,positive
4840,negative
4465,negative
5072,negative
2493,positive
1507,negative
981,positive
1775,negative
2924,neutral
2583,positive
845,positive
3263,positive
1582,positive
1704,positive
1119,positive
1818,negative
1501,positive
406,positive
1743,positive
1220,neutral
1543,negative
1554,positive
3203,positive
5113,negative
963,positive
2319,neutral
4702,positive
3631,positive
3728,negative
3659,negative
601,positive
2072,positive
4836,negative
25,neutral
1732,positive
1585,positive
944,negative
3767,positive
2686,positive
2633,negative
292,positive
2694,positive
1909,neutral
4223,positive
4544,negative
949,positive
3275,positive
2727,neutral
24,neutral
3088,positive
3498,positive
3616,negative
425,negative
1982,positive
219,neutral
4075,positive
842,positive
3786,negative
764,positive
4171,positive
3601,positive
1687,positive
1157,negative
2933,neutral
4344,positive
1400,neutral
562,positive
2767,positive
2738,neutral
4206,positive
2615,neutral
3351,positive
4442,negative
384,negative
3112,negative
4419,negative
471,positive
1692,neutral
4801,positive
2050,positive
1085,positive
4708,negative
3166,negative
1623,positive
634,positive
4526,positive
721,positive
1073,neutral
2089,positive
927,neutral
724,positive
3444,negative
2899,negative
1376,positive
4353,positive
4095,neutral
928,negative
4026,positive
1189,positive
4802,negative
3527,positive
844,positive
3240,positive
2766,negative
3930,positive
4435,negative
2881,negative
1884,neutral
4474,negative
1970,positive
1444,negative
4405,positive
4389,negative
1295,positive
1035,positive
5082,negative
3617,neutral
4396,negative
4151,neutral
3127,positive
4114,negative
1460,negative
814,positive
1975,positive
5103,positive
1631,positive
781,positive
4890,positive
4263,positive
4938,negative
3603,positive
830,negative
1087,negative
4014,positive
4704,positive
81,positive
2773,positive
4468,neutral
702,positive
2726,neutral
3232,positive
4991,positive
2076,positive
984,neutral
134,negative
4439,positive
223,positive
5023,positive
5001,negative
1337,positive
945,positive
4286,positive
3484,positive
4837,positive
4106,neutral
3310,negative
4146,negative
1547,negative
398,negative
1291,positive
4899,positive
510,positive
1200,positive
2478,negative
2995,positive
1838,negative
85,neutral
3089,negative
3506,positive
2569,positive
4249,positive
1809,negative
3072,neutral
4719,negative
4953,positive
2492,positive
3512,negative
2808,positive
3989,negative
794,neutral
1727,positive
1350,positive
4128,positive
3027,positive
5005,negative
1433,positive
1793,positive
1412,positive
2558,positive
357,positive
1487,positive
1767,positive
832,negative
1726,positive
4940,positive
2591,positive
1696,positive
2548,negative
4470,negative
4041,positive
2927,positive
5086,negative
3361,positive
3886,positive
4855,negative
2360,negative
4647,negative
244,positive
3938,negative
2618,negative
561,positive
3241,positive
4462,neutral
2388,neutral
161,positive
1847,positive
3544,negative
1153,neutral
869,negative
3265,positive
3982,positive
3907,positive
717,positive
1064,positive
4025,positive
2609,positive
3094,neutral
972,negative
754,positive
2536,positive
3768,negative
1825,positive
2321,positive
5042,positive
693,neutral
2634,positive
4208,positive
697,negative
530,positive
2136,positive
98,positive
2601,positive
3281,negative
4318,positive
4071,negative
4630,neutral
3632,positive
4901,negative
938,neutral
4103,positive
5090,positive
1368,positive
718,neutral
529,negative
3478,negative
2734,neutral
2952,positive
699,negative
3335,positive
1273,positive
3965,positive
4172,negative
3703,neutral
560,positive
3488,negative
4542,negative
3033,positive
2049,positive
620,positive
4406,positive
5123,negative
4309,positive
4764,negative
1869,positive
4086,neutral
2969,positive
3481,positive
338,positive
4520,positive
4056,negative
936,neutral
2095,neutral
1089,neutral
4493,positive
3843,positive
3642,positive
1513,negative
3598,positive
5057,positive
4567,positive
1359,negative
4159,negative
2318,neutral
4522,negative
1303,positive
4513,positive
2594,positive
2532,positive
4463,neutral
1267,positive
1423,positive
3004,positive
4238,positive
1397,neutral
1371,positive
524,positive
5019,negative
4776,positive
4547,positive
3100,positive
4048,negative
3956,negative
2762,neutral
3612,neutral
3043,neutral
3755,negative
2080,positive
4759,positive
1779,negative
4174,positive
3510,positive
925,positive
1127,positive
1520,negative
2827,positive
4393,negative
4069,positive
1519,positive
886,negative
243,neutral
4952,positive
1445,negative
2541,positive
1800,neutral
2628,positive
4973,positive
3117,negative
4803,positive
4667,positive
5089,negative
1379,negative
2608,positive
3167,negative
359,positive
4642,positive
1365,negative
1211,positive
1709,positive
700,negative
1095,positive
3369,positive
663,positive
4531,positive
2768,positive
3442,positive
5074,negative
1144,neutral
1548,negative
1451,negative
1466,positive
2650,negative
3446,positive
3066,positive
1163,positive
201,negative
427,positive
4211,negative
1935,positive
1536,positive
2590,positive
401,positive
103,positive
4451,positive
2998,negative
1734,negative
2860,positive
1465,positive
3320,negative
893,positive
3014,positive
821,positive
42,positive
1700,positive
595,positive
1006,positive
819,negative
4964,positive
872,positive
787,positive
307,positive
187,positive
554,positive
3467,positive
33,neutral
168,positive
3838,negative
1844,positive
1375,negative
294,positive
3920,neutral
342,positive
3445,negative
261,positive
2696,neutral
2809,negative
2445,positive
4447,positive
1270,positive
2139,positive
3732,negative
3682,positive
4199,positive
2841,negative
2108,positive
1113,positive
760,neutral
1430,positive
2128,negative
4929,negative
2479,positive
4313,positive
791,positive
3541,positive
3947,negative
2807,positive
5106,negative
3360,negative
587,neutral
4716,negative
352,positive
1408,positive
4592,negative
1483,positive
2930,positive
2458,positive
3686,positive
4119,neutral
2574,positive
3643,positive
1611,positive
3202,neutral
4572,positive
2156,negative
818,negative
14,positive
849,positive
2161,positive
1177,positive
4958,negative
1083,positive
1632,positive
654,positive
1850,neutral
2427,positive
2770,positive
3725,positive
4270,positive
